Speed;Completion;Penalty;Long_shots;Penalty_Acc;Awnings;Dribbling;Long_pass;Short_pass;Intercepts;Head_game;Selection;Tackle;Result
95;63;47;61;67;81;90;40;33;54;85;30;55;1
63;64;59;81;53;66;62;72;65;21;86;30;25;1
71;67;70;94;41;34;81;54;76;36;68;20;32;0
74;58;73;99;67;66;91;54;85;40;86;33;23;0
66;78;94;56;87;33;64;39;48;59;53;35;51;3
81;63;85;58;57;30;85;43;36;48;64;31;33;2
88;79;55;92;87;70;60;62;57;27;84;54;53;1
71;75;83;91;67;41;66;61;64;24;59;41;54;3
96;68;77;80;54;47;56;32;87;49;80;58;60;0
53;73;77;67;59;80;66;59;42;43;49;45;32;3
75;63;97;78;88;76;65;78;86;48;60;27;24;3
65;90;66;48;98;79;94;84;81;36;80;26;58;2
92;71;69;94;66;79;84;33;82;36;81;47;52;1
46;74;63;74;36;61;95;81;75;55;76;33;43;1
56;97;92;66;76;80;62;72;54;27;99;21;50;4
91;55;58;87;53;67;97;32;53;36;90;46;20;0
90;67;50;62;98;66;94;35;32;36;78;25;47;1
94;76;89;74;92;46;83;55;79;22;97;31;26;2
58;93;69;72;72;32;93;75;36;48;55;45;40;3
97;89;45;73;95;31;47;85;71;57;65;37;55;1
46;64;57;48;91;70;90;30;71;39;56;49;25;2
68;92;66;76;89;43;93;56;30;59;75;38;53;1
86;74;68;68;37;48;51;50;80;45;54;38;54;3
75;94;80;45;55;37;57;52;45;54;61;56;56;2
68;58;95;66;44;73;68;70;75;42;97;51;59;0
98;55;59;96;95;62;65;59;39;37;76;38;45;0
74;93;92;75;81;78;95;82;54;50;79;59;40;2
57;85;72;90;43;33;72;65;90;41;63;44;41;3
75;62;53;72;56;75;53;76;57;58;85;49;59;1
48;59;70;52;60;69;83;71;90;51;71;59;32;2
97;62;82;58;86;34;93;45;54;46;96;50;56;2
74;84;96;66;98;73;90;85;45;36;76;33;24;2
51;65;71;49;96;67;64;40;46;51;65;33;20;2
95;73;97;91;79;32;70;44;66;51;97;40;40;0
99;86;59;75;69;75;82;60;51;35;51;25;58;3
75;59;96;67;38;31;45;85;51;41;81;56;32;0
96;80;92;47;75;44;46;80;69;30;78;22;52;2
45;57;61;74;49;35;47;40;73;32;63;27;35;4
56;99;82;72;96;45;84;81;83;45;73;42;34;4
94;65;85;91;86;46;58;44;57;60;83;52;54;0
79;62;79;73;98;37;82;41;80;49;62;59;49;3
48;80;98;83;87;57;60;48;30;38;67;40;45;4
78;70;59;73;50;50;83;30;70;24;97;37;33;1
66;77;75;63;89;47;94;54;89;44;84;39;33;2
63;53;87;92;40;45;98;70;71;28;55;42;40;0
60;57;74;61;98;43;79;51;78;59;81;20;58;0
69;89;69;47;70;30;97;82;46;47;60;22;37;2
45;48;64;66;69;30;96;52;90;49;51;33;41;0
95;83;60;90;82;72;73;63;80;58;96;53;51;1
49;50;98;91;44;66;84;48;67;51;56;55;37;0
92;54;50;71;70;54;67;59;90;28;63;43;44;1
63;56;58;93;40;80;88;65;81;32;99;59;54;0
66;75;61;77;96;41;95;34;59;23;55;39;56;3
54;48;88;60;79;72;73;30;32;58;59;34;36;0
66;58;55;87;44;39;68;54;58;58;49;58;51;3
79;89;53;90;64;61;67;63;85;56;57;32;45;1
74;48;47;78;54;80;92;82;76;33;90;54;29;1
64;45;99;83;84;77;61;70;33;25;66;51;45;0
51;76;82;99;42;53;48;78;79;27;63;25;37;4
91;47;67;68;74;46;72;66;70;46;95;53;48;0
73;92;67;70;66;63;72;59;37;49;56;48;41;3
83;98;51;89;74;56;78;30;70;27;71;60;31;1
62;69;94;59;70;49;62;56;46;54;77;22;30;2
69;80;61;64;84;49;86;65;82;44;57;33;55;3
79;49;52;64;95;37;75;51;43;33;54;58;27;0
93;95;99;64;52;51;68;60;58;37;68;31;51;2
72;73;81;85;59;65;64;49;66;56;82;56;21;4
65;89;90;71;76;32;47;34;83;42;63;31;31;4
69;59;69;96;74;53;54;56;53;38;88;44;31;0
51;59;69;76;80;40;87;83;86;36;53;43;42;3
70;54;86;95;72;34;48;42;61;23;73;54;28;0
83;62;78;75;61;59;69;85;43;36;63;32;35;0
69;78;96;64;72;49;82;35;48;34;51;33;49;3
81;73;71;76;85;47;93;56;30;32;47;49;43;3
75;74;62;73;93;80;70;81;52;54;77;21;21;1
79;84;89;65;39;64;50;77;75;50;46;46;22;3
63;80;79;88;70;33;95;49;70;25;71;21;35;3
88;62;51;94;57;46;72;50;60;20;95;37;40;1
72;69;64;60;43;62;98;42;82;32;87;32;51;2
49;66;81;71;75;49;97;66;69;39;99;20;28;0
84;98;85;89;60;43;85;42;65;53;48;54;44;3
