Speed;Completion;Penalty;Long_shots;Penalty_Acc;Awnings;Dribbling;Long_pass;Short_pass;Intercepts;Head_game;Selection;Tackle;Result
92;34;28;26;53;84;67;88;86;69;58;62;51;1
90;28;28;51;26;83;69;97;87;40;70;62;51;1
70;27;49;39;42;45;67;97;77;52;55;54;48;0
70;56;21;27;60;86;79;80;79;55;49;43;50;3
59;23;59;36;20;83;64;97;70;58;44;44;64;1
83;60;29;42;57;61;52;94;64;72;35;59;37;1
69;61;38;52;20;56;88;65;96;63;64;50;43;0
31;65;36;58;22;59;89;93;55;68;58;57;37;3
62;20;55;52;39;51;67;93;91;76;54;44;53;0
68;58;39;35;50;64;88;76;89;89;50;65;59;0
70;64;38;42;51;52;73;61;68;65;46;35;46;0
58;57;41;28;63;92;93;49;85;56;48;67;56;2
56;46;32;38;60;73;61;80;72;79;50;62;57;1
66;55;61;62;57;74;92;53;82;80;35;59;61;2
55;25;33;48;64;58;46;55;53;40;70;64;43;1
32;51;47;34;38;57;46;71;83;63;60;44;70;1
89;22;20;38;33;93;81;63;48;50;44;48;70;3
49;39;30;21;60;86;88;85;85;53;54;36;54;3
85;51;62;30;33;53;90;71;66;51;52;66;62;0
95;43;27;25;36;93;58;55;94;50;45;37;51;2
72;32;37;43;23;79;87;72;63;71;66;45;42;3
64;41;65;24;50;54;67;84;87;67;55;48;36;0
82;27;60;65;35;98;90;82;72;55;39;59;48;3
74;58;35;36;25;67;58;83;82;53;63;60;42;1
86;41;48;27;36;94;99;70;73;88;56;60;44;2
53;28;61;49;63;91;68;67;74;89;35;39;64;2
65;51;24;25;36;79;46;53;90;66;49;38;36;1
41;22;55;60;30;56;90;45;85;51;54;60;54;2
59;63;57;26;22;49;63;57;75;49;50;57;59;0
86;42;55;33;23;71;56;64;91;59;46;41;70;1
74;43;56;37;62;60;58;65;53;66;40;51;35;3
69;32;60;25;31;76;93;65;53;45;59;68;54;3
31;40;48;37;42;69;67;94;69;41;50;69;36;1
60;40;43;43;46;72;67;97;65;81;45;37;54;3
52;33;29;61;54;50;48;81;94;62;49;65;37;1
72;45;35;39;47;61;93;97;65;88;57;54;56;0
86;47;42;44;25;84;93;46;51;77;38;56;68;2
44;25;20;43;46;74;97;57;73;81;63;53;48;2
82;38;33;28;33;70;94;74;92;87;66;64;57;0
85;57;21;45;23;69;62;84;97;62;61;47;59;1
88;33;45;32;22;94;69;88;56;44;68;58;39;3
76;59;47;40;44;83;88;70;57;54;57;65;54;3
90;47;46;60;48;92;59;90;53;56;51;59;48;3
69;35;63;50;29;90;57;57;91;54;47;48;58;2
44;33;61;20;40;54;63;73;45;69;67;47;40;3
58;41;45;48;56;51;61;98;55;56;49;52;45;0
36;49;40;27;64;69;89;67;59;48;66;35;56;3
62;31;65;38;35;67;52;87;66;77;42;43;37;1
94;53;43;48;59;95;56;75;79;61;64;61;61;1
91;25;63;48;57;86;81;78;47;65;52;53;54;3
56;57;41;44;24;65;59;76;68;44;49;64;58;1
60;32;52;42;57;84;81;61;98;82;66;70;61;2
30;34;44;20;22;57;54;48;68;81;37;47;38;2
78;48;45;31;43;85;55;67;46;67;40;61;68;3
70;48;25;49;34;52;85;56;94;42;43;47;56;0
37;57;63;28;28;46;45;87;45;72;51;54;57;3
88;56;49;34;32;58;66;64;47;79;57;47;49;3
60;57;61;60;47;95;66;45;96;59;51;62;69;2
91;29;45;38;23;45;57;63;46;80;45;35;48;0
33;54;56;58;37;53;89;99;65;70;63;59;41;0
34;27;65;21;23;64;79;96;52;58;47;70;60;3
34;35;62;45;53;94;47;93;80;65;37;57;49;1
56;62;61;40;53;48;81;75;79;57;49;40;61;0
40;65;38;57;44;78;98;58;68;81;64;41;69;2
95;26;48;21;58;66;54;92;93;89;55;53;48;1
57;54;53;33;41;55;52;89;63;61;59;40;41;1
54;21;37;41;23;70;68;53;85;54;48;64;70;2
42;27;63;31;37;81;79;67;55;85;68;37;57;3
39;60;47;31;21;68;57;71;75;62;68;62;51;1
55;57;23;21;55;87;71;99;64;86;54;51;59;3
72;38;47;58;40;81;71;52;54;48;43;49;58;2
39;38;65;26;44;57;71;69;51;72;60;64;49;3
85;44;55;53;64;65;61;63;74;69;40;60;67;1
73;65;60;30;24;54;50;66;70;66;69;47;39;1
87;23;22;22;24;53;70;49;64;49;46;60;58;2
44;39;35;50;48;48;98;98;95;68;68;54;36;0
34;45;61;63;26;54;66;50;76;84;69;38;51;2
73;26;65;52;63;96;79;77;89;79;57;70;65;2
78;54;40;43;45;50;57;63;65;78;50;42;70;0
76;53;46;59;50;91;47;52;76;59;40;61;46;1
94;63;36;42;44;76;53;80;76;55;69;67;57;1
38;65;42;27;21;69;67;62;95;40;45;50;36;2
85;64;26;52;23;86;54;67;90;40;44;60;42;1
39;23;34;22;59;96;51;78;90;52;55;65;43;1
57;37;32;35;39;81;60;51;85;81;50;55;65;2
52;23;55;55;27;88;66;53;54;88;45;50;56;2
79;26;35;43;20;98;89;67;50;61;44;58;62;3
81;51;28;40;56;63;84;83;79;50;61;52;56;0
89;42;46;33;28;87;88;54;59;57;66;41;70;2
77;54;43;63;52;49;58;78;88;60;41;63;61;0
30;41;25;31;27;63;77;67;56;85;45;70;65;3
61;27;41;50;40;82;78;46;79;58;40;60;61;2
84;62;49;51;44;83;58;64;94;64;47;70;44;1
61;59;52;45;45;56;45;51;74;51;54;53;39;1
